date,maxDailyTidal
3/15/2019,2.971836138
3/16/2019,3.264447696
3/17/2019,3.572299439
3/18/2019,3.791758108
3/19/2019,3.867959034
3/20/2019,3.794806145
3/21/2019,3.686600829
3/22/2019,3.578395513
3/23/2019,3.560107291
3/24/2019,3.575347476
3/25/2019,3.419897586
3/26/2019,3.118141917
3/27/2019,2.731041209
3/28/2019,2.724945135
3/29/2019,2.685320653
3/30/2019,2.727993172
3/31/2019,2.785905877
4/1/2019,2.804194099
4/2/2019,2.773713728
4/3/2019,2.697512802
4/4/2019,2.575591319
4/5/2019,2.773713728
4/6/2019,3.023652768
4/7/2019,3.227871251
4/8/2019,3.349792733
4/9/2019,3.398561327
4/10/2019,3.389417215
4/11/2019,3.328456474
4/12/2019,3.267495733
4/13/2019,3.206534991
4/14/2019,3.237015362
4/15/2019,3.291880029
4/16/2019,3.288831992
4/17/2019,3.194342843
4/18/2019,3.316264326
4/19/2019,3.672884662
4/20/2019,3.874055109
4/21/2019,3.907583516
4/22/2019,3.88319922
4/23/2019,3.727749329
4/24/2019,3.471714216
4/25/2019,3.169958547
4/26/2019,2.924591563
4/27/2019,2.679224579
4/28/2019,2.523774689
4/29/2019,2.426237503
4/30/2019,2.340892465
5/1/2019,2.417093392
5/2/2019,2.724945135
5/3/2019,3.035844916
5/4/2019,3.328456474
5/5/2019,3.599731773
5/6/2019,3.895391368
5/7/2019,4.072177518
5/8/2019,4.108753962
5/9/2019,4.017312851
5/10/2019,3.837478664
5/11/2019,3.595159718
5/12/2019,3.352840771
5/13/2019,3.127286028
5/14/2019,2.920019507
5/15/2019,3.023652768
5/16/2019,3.490002438
5/17/2019,3.852718849
5/18/2019,4.066081444
5/19/2019,4.178858815
5/20/2019,4.270299927
5/21/2019,4.203243111
5/22/2019,4.017312851
5/23/2019,3.739941478
5/24/2019,3.413801512
5/25/2019,3.069373324
5/26/2019,2.766093636
5/27/2019,2.462813948
5/28/2019,2.194586686
5/29/2019,2.453669837
5/30/2019,2.795049988
5/31/2019,3.14557425
6/1/2019,3.480858327
6/2/2019,3.782613997
6/3/2019,4.169714704
6/4/2019,4.450134114
6/5/2019,4.581199707
6/6/2019,4.562911485
6/7/2019,4.401365521
6/8/2019,4.111802
6/9/2019,3.730797366
6/10/2019,3.294928066
6/11/2019,2.859058766
6/12/2019,3.09375762
6/13/2019,3.514386735
6/14/2019,3.837478664
6/15/2019,4.03864911
6/16/2019,4.145330407
6/17/2019,4.29773226
6/18/2019,4.306876372
6/19/2019,4.212387223
6/20/2019,4.03864911
6/21/2019,3.797854182
6/22/2019,3.505242624
6/23/2019,3.160814436
6/24/2019,2.770665691
6/25/2019,2.567971227
6/26/2019,2.365276762
6/27/2019,2.676176542
6/28/2019,3.017556693
6/29/2019,3.368080956
6/30/2019,3.715557181
7/1/2019,4.075225555
7/2/2019,4.453182151
7/3/2019,4.690929042
7/4/2019,4.770178005
7/5/2019,4.687881005
7/6/2019,4.440990002
7/7/2019,4.044745184
7/8/2019,3.517434772
7/9/2019,2.920019507
7/10/2019,3.14557425
7/11/2019,3.371128993
7/12/2019,3.60277981
7/13/2019,3.752133626
7/14/2019,3.871007071
7/15/2019,4.056937332
7/16/2019,4.102657888
7/17/2019,4.063033406
7/18/2019,3.962448183
7/19/2019,3.819190441
7/20/2019,3.618019995
7/21/2019,3.349792733
7/22/2019,2.99012436
7/23/2019,2.560351134
7/24/2019,2.264691539
7/25/2019,2.459765911
7/26/2019,2.743233358
7/27/2019,3.026700805
7/28/2019,3.343696659
7/29/2019,3.688124848
7/30/2019,4.130090222
7/31/2019,4.447086077
8/1/2019,4.614728115
8/2/2019,4.617776152
8/3/2019,4.440990002
8/4/2019,4.09046574
8/5/2019,3.578395513
8/6/2019,2.953547915
8/7/2019,2.980980249
8/8/2019,3.057181175
8/9/2019,3.163862473
8/10/2019,3.27054377
8/11/2019,3.44732992
8/12/2019,3.639356255
8/13/2019,3.712509144
8/14/2019,3.697268959
8/15/2019,3.63326018
8/16/2019,3.532674957
8/17/2019,3.395513289
8/18/2019,3.191294806
8/19/2019,2.907827359
8/20/2019,2.529870763
8/21/2019,2.407949281
8/22/2019,2.478054133
8/23/2019,2.55425506
8/24/2019,2.670080468
8/25/2019,2.752377469
8/26/2019,3.209583029
8/27/2019,3.636308218
8/28/2019,3.980736406
8/29/2019,4.197147037
8/30/2019,4.252011704
8/31/2019,4.139234333
9/1/2019,3.849670812
9/2/2019,3.401609364
9/3/2019,3.179102658
9/4/2019,3.182150695
9/5/2019,3.063277249
9/6/2019,2.86515484
9/7/2019,2.8864911
9/8/2019,3.038892953
9/9/2019,3.16691051
9/10/2019,3.237015362
9/11/2019,3.240063399
9/12/2019,3.191294806
9/13/2019,3.102901731
9/14/2019,2.984028286
9/15/2019,2.81333821
9/16/2019,2.575591319
9/17/2019,2.639600098
9/18/2019,2.737137284
9/19/2019,2.764569617
9/20/2019,2.734089247
9/21/2019,2.724945135
9/22/2019,2.807242136
9/23/2019,2.99012436
9/24/2019,3.237015362
9/25/2019,3.490002438
9/26/2019,3.678980736
9/27/2019,3.742989515
9/28/2019,3.663740551
9/29/2019,3.563155328
9/30/2019,3.462570105
10/1/2019,3.614971958
10/2/2019,3.60277981
10/3/2019,3.532674957
10/4/2019,3.355888808
10/5/2019,3.151670324
10/6/2019,2.984028286
10/7/2019,2.883443063
10/8/2019,2.83467447
10/9/2019,2.801146062
10/10/2019,2.749329432
10/11/2019,2.660936357
10/12/2019,2.654840283
10/13/2019,2.877346989
10/14/2019,2.958119971
10/15/2019,3.038892953
